"TIME","GEO","UNIT","WORKTIME","SECTOR","SEX","ISCED11","Value","Flag and Footnotes"
"2015","Cyprus","Number","Total","Total","Total","Bachelor's or equivalent level","19,994",""
"2015","Cyprus","Number","Total","Total","Total","Master's or equivalent level","12,935",""
"2015","Cyprus","Number","Total","Total","Total","Doctoral or equivalent level","1,109",""
"2015","Latvia","Number","Total","Total","Total","Bachelor's or equivalent level","50,634",""
"2015","Latvia","Number","Total","Total","Total","Master's or equivalent level","16,942",""
"2015","Latvia","Number","Total","Total","Total","Doctoral or equivalent level","2,200",""
"2015","Lithuania","Number","Total","Total","Total","Bachelor's or equivalent level","108,083",""
"2015","Lithuania","Number","Total","Total","Total","Master's or equivalent level","29,911",""
"2015","Lithuania","Number","Total","Total","Total","Doctoral or equivalent level","2,635",""
"2015","Luxembourg","Number","Total","Total","Total","Bachelor's or equivalent level","3,231",""
"2015","Luxembourg","Number","Total","Total","Total","Master's or equivalent level","2,509",""
"2015","Luxembourg","Number","Total","Total","Total","Doctoral or equivalent level","569",""
"2015","Hungary","Number","Total","Total","Total","Bachelor's or equivalent level","214,737",""
"2015","Hungary","Number","Total","Total","Total","Master's or equivalent level","74,113",""
"2015","Hungary","Number","Total","Total","Total","Doctoral or equivalent level","7,224",""
"2015","Malta","Number","Total","Total","Total","Bachelor's or equivalent level","7,026",""
"2015","Malta","Number","Total","Total","Total","Master's or equivalent level","3,540",""
"2015","Malta","Number","Total","Total","Total","Doctoral or equivalent level","113",""
"2015","Netherlands","Number","Total","Total","Total","Bachelor's or equivalent level","646,851",""
"2015","Netherlands","Number","Total","Total","Total","Master's or equivalent level","162,585",""
"2015","Netherlands","Number","Total","Total","Total","Doctoral or equivalent level","14,478",""
"2015","Austria","Number","Total","Total","Total","Bachelor's or equivalent level","183,768",""
"2015","Austria","Number","Total","Total","Total","Master's or equivalent level","140,269",""
"2015","Austria","Number","Total","Total","Total","Doctoral or equivalent level","24,058",""
"2015","Poland","Number","Total","Total","Total","Bachelor's or equivalent level","1,104,364",""
"2015","Poland","Number","Total","Total","Total","Master's or equivalent level","514,821",""
"2015","Poland","Number","Total","Total","Total","Doctoral or equivalent level","43,399",""
"2015","Portugal","Number","Total","Total","Total","Bachelor's or equivalent level","203,836",""
"2015","Portugal","Number","Total","Total","Total","Master's or equivalent level","113,966",""
"2015","Portugal","Number","Total","Total","Total","Doctoral or equivalent level","19,310",""
"2015","Romania","Number","Total","Total","Total","Bachelor's or equivalent level","354,186",""
"2015","Romania","Number","Total","Total","Total","Master's or equivalent level","168,152",""
"2015","Romania","Number","Total","Total","Total","Doctoral or equivalent level","19,315",""
"2015","Slovenia","Number","Total","Total","Total","Bachelor's or equivalent level","48,893",""
"2015","Slovenia","Number","Total","Total","Total","Master's or equivalent level","22,594",""
"2015","Slovenia","Number","Total","Total","Total","Doctoral or equivalent level","2,644",""
"2015","Slovakia","Number","Total","Total","Total","Bachelor's or equivalent level","102,434",""
"2015","Slovakia","Number","Total","Total","Total","Master's or equivalent level","70,038",""
"2015","Slovakia","Number","Total","Total","Total","Doctoral or equivalent level","9,071",""
"2015","Finland","Number","Total","Total","Total","Bachelor's or equivalent level","219,370",""
"2015","Finland","Number","Total","Total","Total","Master's or equivalent level","63,239",""
"2015","Finland","Number","Total","Total","Total","Doctoral or equivalent level","19,869",""
"2015","Sweden","Number","Total","Total","Total","Bachelor's or equivalent level","246,400",""
"2015","Sweden","Number","Total","Total","Total","Master's or equivalent level","135,555",""
"2015","Sweden","Number","Total","Total","Total","Doctoral or equivalent level","21,358",""
"2015","United Kingdom","Number","Total","Total","Total","Bachelor's or equivalent level","1,523,902",""
"2015","United Kingdom","Number","Total","Total","Total","Master's or equivalent level","421,145",""
"2015","United Kingdom","Number","Total","Total","Total","Doctoral or equivalent level","112,800",""
"2015","Iceland","Number","Total","Total","Total","Bachelor's or equivalent level","13,393",""
"2015","Iceland","Number","Total","Total","Total","Master's or equivalent level","4,543",""
"2015","Iceland","Number","Total","Total","Total","Doctoral or equivalent level","519",""
"2015","Liechtenstein","Number","Total","Total","Total","Bachelor's or equivalent level","393",""
"2015","Liechtenstein","Number","Total","Total","Total","Master's or equivalent level","243",""
"2015","Liechtenstein","Number","Total","Total","Total","Doctoral or equivalent level","114",""
"2015","Norway","Number","Total","Total","Total","Bachelor's or equivalent level","188,823",""
"2015","Norway","Number","Total","Total","Total","Master's or equivalent level","62,109",""
"2015","Norway","Number","Total","Total","Total","Doctoral or equivalent level","7,463",""
"2015","Switzerland","Number","Total","Total","Total","Bachelor's or equivalent level","195,437",""
"2015","Switzerland","Number","Total","Total","Total","Master's or equivalent level","65,036",""
"2015","Switzerland","Number","Total","Total","Total","Doctoral or equivalent level","23,697",""
"2015","Former Yugoslav Republic of Macedonia, the","Number","Total","Total","Total","Bachelor's or equivalent level","59,359",""
"2015","Former Yugoslav Republic of Macedonia, the","Number","Total","Total","Total","Master's or equivalent level","3,891",""
"2015","Former Yugoslav Republic of Macedonia, the","Number","Total","Total","Total","Doctoral or equivalent level","293",""
"2015","Serbia","Number","Total","Total","Total","Bachelor's or equivalent level","194,696",""
"2015","Serbia","Number","Total","Total","Total","Master's or equivalent level","37,803",""
"2015","Serbia","Number","Total","Total","Total","Doctoral or equivalent level","8,555",""
"2015","Turkey","Number","Total","Total","Total","Bachelor's or equivalent level","3,527,649",""
"2015","Turkey","Number","Total","Total","Total","Master's or equivalent level","443,252",""
"2015","Turkey","Number","Total","Total","Total","Doctoral or equivalent level","78,223",""
